web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1557300516-2751","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AllenFrancesMD","Allen Frances","Despite hype, there's no reason to believe #diet helps prevent/treat #depression
Risk- patients may not get real treatment  if they believe media claims for fake treatments.
In contrast, #Exercise has proven its efficacy for mild/mod depression.
Psychotherapy also 1st line. https://twitter.com/KLomangino/status/983356636432650240 …","5","14","30","1523289516000","8:58 AM - 9 Apr 2018","/AllenFrancesMD/status/983373620884967424"
"1557300516-3123","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@IntlBipolar","International Bipolar Foundation","8 Things to Consider When Your Depression Is Not Getting Better http://dld.bz/dRG5Q  #depression #mentalillness #health #treatment","1","5","3","1440619239000","1:00 PM - 26 Aug 2015","/IntlBipolar/status/636629347395350528"
"1557300516-3456","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrShock","Walter van den Broek","Online Treatment for Depression A Randomized Controlled Trial #ehealth #depression http://tinyurl.com/on6o6d","","","","1242149910000","10:38 AM - 12 May 2009","/DrShock/status/1775493320"
"1557300516-2914","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@StMikesNeuroSci","StMikesNeuroscience","Packed house for @ASRlife_SMH lecture @StMikesHospital with Dr Helen Mayberg #neuroimaging and #depression treatment  #BellLetsTalkpic.twitter.com/7tIcy9gef2","","9","5","1485380431000","1:40 PM - 25 Jan 2017","/StMikesNeuroSci/status/824371394968436741"
"1557300516-2848","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@VoiceDepression","Giving Voice to Depression","Check in on grand/parents. Late-life depression affects 6 million in US. Only 10% get treatment.  #depression #SickNotWeak #KeepTalkingMHpic.twitter.com/FDQkIYTiOv","1","11","11","1502982397000","8:06 AM - 17 Aug 2017","/VoiceDepression/status/898199391286243334"
"1557300516-2712","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@SickNotWeak","SickNotWeak","I've made it back from #depression's hell but many don't get the treatment I got. We need to work to change that. - ML #SickNotWeak","3","22","73","1533996060000","7:01 AM - 11 Aug 2018","/SickNotWeak/status/1028280122091204608"
"1557300516-2780","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@OkayToSay","Okay to Say","Day 2 of our new celeb introductions! @MaraWilson might be best known as the formidable star of Matilda, but we think Mara's own story is pretty powerful.  Diagnosed with #OCD, #anxiety & #depression at age 12, Mara refused to give up on hope & sought treatment.  #okaytosaypic.twitter.com/HTQNloJHA0","1","6","17","1517500803000","8:00 AM - 1 Feb 2018","/OkayToSay/status/959093999184232448"
"1557300516-3343","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@JeanneLynn1968","Jeanne Lynn","Depression #Pills and How They Are Used in #Depression Treatment | Anxiety Relief http://www.anxiety-relief.org/2013/07/25/depression-pills-depression-treatment/ … via @jeannelynn68 #antidepressants","","11","3","1376982124000","12:02 AM - 20 Aug 2013","/JeanneLynn1968/status/369715944639062016"
"1557300516-2837","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Medscape","Medscape","#ECNP2017 News: Neurofeedback and noninvasive vagus stimulation may decrease treatment-resistant #depression http://ms.spr.ly/6013rvg2t","","7","5","1505128620000","4:17 AM - 11 Sep 2017","/Medscape/status/907201302626791424"
"1557300516-3160","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@_carrienet_","Carrie","The Silent Treatment. The silent treatment is one of the most common forms http://www.carrienet.com/the-silent-treatment/ … #depression pic.twitter.com/oTxg68eO3A","","3","6","1434545210000","5:46 AM - 17 Jun 2015","/_carrienet_/status/611153025768402944"
"1557300516-3357","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@rphki","Raphael Kirchner","Depression treatment: Will Ketamine replace SSRIs? http://pensees.pascallisch.net/?p=1375  via @SaraSnicolau @Pascallisch #depression","","2","2","1369809942000","11:45 PM - 28 May 2013","/rphki/status/339633630294978560"
"1557300516-2869","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@REALrunryan","Ryan Light","Did you know 80% of individuals affected by #depression do not receive any treatment? They try to #beatanxiety on their own, sadly most fail","3","9","24","1498576695000","8:18 AM - 27 Jun 2017","/REALrunryan/status/879720537848721409"
"1557300516-3039","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WeedFeed","Marijuana News","Physicians have Recommended #Cannabis for the Treatment of #Depression Since 1621 -  http://mmjne.ws/1T1h3w7  pic.twitter.com/uG5c0RaVR6","","38","37","1459582566000","12:36 AM - 2 Apr 2016","/WeedFeed/status/716167307572195328"
"1557300516-3367","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrDavidHealy","David Healy","#SSRIs are no good for treating melancholia, so those with severe #depression get worse treatment than they once did
http://davidhealy.org/prozac-and-ssris-twenty-fifth-anniversary/ …","1","4","2","1360153748000","4:29 AM - 6 Feb 2013","/DrDavidHealy/status/299132619319304192"
"1557300516-3110","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@FDAWomen","FDAWomen","Asking for help is the first step in treating #depression. Use this guide to talk with your doctor about treatment: http://go.usa.gov/3X584","","10","7","1442588125000","7:55 AM - 18 Sep 2015","/FDAWomen/status/644887455192236032"
"1557300516-3074","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NPF","National Psoriasis Foundation","#Psoriasis increases risk for #depression. Finding a treatment that works 4 you can positively impact your #mentalhealth. #health","1","7","7","1448240530000","5:02 PM - 22 Nov 2015","/NPF/status/668595359371915264"
"1557300516-2650","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrAdrienneMeier","Dr. Adrienne Meier","We know #diet impacts #wellness but recent studies show our gut health impacts #mentalhealth!

People w/ #depression were found to have less gut bacteria, so #probiotics may be a helpful addition to #treatment for #mentalillness.

#MentalWellness #Wellnesshttp://ow.ly/tlD250kVXQy","3","23","30","1550538609000","5:10 PM - 18 Feb 2019","/DrAdrienneMeier/status/1097664603897675776"
"1557300516-3136","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@megfarrisWWL","Meg Farris","As 10th anniversary of #Katrina approaches, help for #depression #addiction #anxiety #MentalIllness Free treatment http://www.wwltv.com/story/news/local/katrina/2015/08/12/help-provided-for-katrina-anniversary-depression/31571459/ …","7","15","6","1439482445000","9:14 AM - 13 Aug 2015","/megfarrisWWL/status/631861288663162880"
"1557300516-3070","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DanaFarber","Dana-Farber","Does #depression affect #cancer patients after treatment? - http://bit.ly/1NLlV3B pic.twitter.com/U27KFuYAi4","2","6","7","1448746203000","1:30 PM - 28 Nov 2015","/DanaFarber/status/670716307533361153"
"1557300516-2688","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrMarthaGulati","Dr. Martha Gulati","Enough Silence. #doctors #suicide #depression  Learn from me: speak out, seek help, get treatment  https://www.doctorportal.com.au/mjainsight/2018/41/learn-from-me-speak-out-seek-help-get-treatment/ …","2","12","32","1540782561000","8:09 PM - 28 Oct 2018","/DrMarthaGulati/status/1056744772319281154"
"1557300516-2844","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@arnabch01","Arnab","#transcendental #sublime #classical #music of #Bach good #Treatment for #depression #ADHD #autism #stress #health #wellness #joy #God #blesspic.twitter.com/ZKZjMfP8NR","4","109","121","1503641593000","11:13 PM - 24 Aug 2017","/arnabch01/status/900964259298811904"
"1557300516-3013","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WeedFeed","Marijuana News","Physicians have Recommended #Cannabis for the Treatment of #Depression Since 1621 -  http://mmjne.ws/1T1h3w7  pic.twitter.com/5ZPAtWyNdp","","26","32","1465439407000","7:30 PM - 8 Jun 2016","/WeedFeed/status/740732680980049920"
"1557300516-3381","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@STEAMstreamer","Wendy Kovitz","[MedCity News] Blood biomarkers discovery could make personalized #depression treatment possible http://dlvr.it/2BHcfH","","23","","1348107213000","7:13 PM - 19 Sep 2012","/STEAMstreamer/status/248605787222601731"
"1557300516-2870","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@UniofOxford","Oxford University","Ketamine is an effective antidepressant for people whose #depression has not responded to other treatment: http://po.st/TAs7RU pic.twitter.com/cdVyRKQ3Qr","1","17","48","1498316482000","8:01 AM - 24 Jun 2017","/UniofOxford/status/878629127053611008"
"1557300516-3334","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CAMHnews","CAMH","Sleep Therapy is expected to gain a wider role in #depression treatment http://ow.ly/rVUkh  (via @nytimes)","","13","4","1387487712000","1:15 PM - 19 Dec 2013","/CAMHnews/status/413779574821257216"
"1557300516-2732","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Lara_Schwartz","Lara Schwartz","Thread. As we reach for our better selves to understand #AnthonyBourdain 's #suicide it's important to understand that #depression is not the only illness that can lead a person down this road. Trauma is a major driver of suicide. The treatment is different.","11","79","215","1528464332000","6:25 AM - 8 Jun 2018","/Lara_Schwartz/status/1005078374103035910"
"1557300516-3275","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@HealthyPlace","HealthyPlace","Suicidal Ideation: Admissions Criteria and Treatment Options. http://ow.ly/ClOSA  #depression #bipolar #bpd #mentalhealth #mhchat #mhsm","1","10","5","1412730069000","6:01 PM - 7 Oct 2014","/HealthyPlace/status/519653691725344768"
"1557300516-3272","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DanielleHark","Danielle Hark","2/3 of people suffering w/#depression don't seek treatment. Help yourself & loved ones before it's too late. #NationalDepressionScreeningDay","2","12","6","1412885966000","1:19 PM - 9 Oct 2014","/DanielleHark/status/520307569978777600"
"1557300516-2642","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MAPS","MAPS","For the month of March, receive 20% off The #Ketamine Papers: Science, #Therapy, and Transformation. This comprehensive #book offers an introduction to ketamine’s historical use and emerging role in the treatment of #depression and #PTSD. http://maps.org/ketamine pic.twitter.com/62EVrHCJK7","1","16","61","1551731993000","12:39 PM - 4 Mar 2019","/MAPS/status/1102670018150522881"
"1557300516-3096","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NIHRresearch","NIHR Research","Research findings support greater choice of preventative treatment for #depression & reinforce @NICEcomms guidelines http://ow.ly/TcC7v","","18","4","1444478524000","5:02 AM - 10 Oct 2015","/NIHRresearch/status/652816364319674368"
"1557300516-2618","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@RethinkDep","Rethink Depression","#Depression is not a choice you make, and not everyone #livingwithdepression responds optimally to their treatment. Talk to your doctor about potential unrelieved symptoms, and have confidence that regaining more of your true self is possible. #RethinkDepressionpic.twitter.com/I5nxwvGpyL","2","141","452","1556026441000","6:34 AM - 23 Apr 2019","/RethinkDep/status/1120682237303951362"
"1557300516-3174","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@fittmd","Dr. Sylvia Bollie","@lizfurl @empowher Yes! Studies hv shown  #exercise can be effective treatment mild- moderate #depression. #Exercise is medicine #HERChat","1","4","4","1431645517000","4:18 PM - 14 May 2015","/fittmd/status/598990830188273664"
"1557300516-2767","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@JClinPsychiatry","J Clin Psychiatry","How reliable are depression outcome prediction methods? This study investigated whether degree of treatment resistance, as measured by the #Maudsley Staging Method, predicts worse outcomes in #depression. https://buff.ly/2CrorlK pic.twitter.com/3OuRiH6kr5","","10","12","1519823761000","5:16 AM - 28 Feb 2018","/JClinPsychiatry/status/968837192620609536"
"1557300516-2741","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@LisaABrenner","Lisa Brenner","So pleased to be launching a new resource for Vets and providers - Treatment Works for Vets with Brad Karlin @EDCtweets https://www.treatmentworksforvets.org/  Learn more about proven treatments to help you feel & sleep better @RMIRECC #TxWrks4Vets #evidencebased #Veteran #insomnia #depression pic.twitter.com/e0lOqVE5eq","1","19","35","1525752771000","9:12 PM - 7 May 2018","/LisaABrenner/status/993705264762138624"
"1557300516-2917","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@PsychiatricNews","Psychiatric News","When is #depression ‘Treatment Resistant’? http://apapsy.ch/blg-trdepression … #Psychiatry #MentalHealthpic.twitter.com/Y31FGOc7p7","","13","14","1485354561000","6:29 AM - 25 Jan 2017","/PsychiatricNews/status/824262888273641472"
"1557300516-2951","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@DrS_Reynolds","Shirley Reynolds #FBPE","What shall I do today at work? Let's improve treatment of #depression in children #NHS
@glyndaviesmp #realworldacademic","1","7","16","1477861280000","2:01 PM - 30 Oct 2016","/DrS_Reynolds/status/792833792738201600"
"1557300516-3236","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@blackdoginst","Black Dog Institute","Find out more about our research into ketamine as a #depression treatment here http://www.blackdoginstitute.org.au/newsmedia/newsdesk/index.cfm … @abc730","","16","8","1421835095000","2:11 AM - 21 Jan 2015","/blackdoginst/status/557842939641348097"
"1557300516-3128","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WellWeds","WellnessWednesday 🚂ツ","#TaiChi Is a Biological Treatment for #Depression
Psychiatric Times
http://buff.ly/1U7p29A 
#EmotionalWellness ~K","","3","4","1440288491000","5:08 PM - 22 Aug 2015","/WellWeds/status/635242089924698112"
"1557300516-2839","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WHO","World Health Organization (WHO)","Lack of support for people w/ #depression or #MentalHealth conditions, coupled with a fear of stigma, prevent access to treatment #LetsTalkpic.twitter.com/euvJaMaMBH","6","225","218","1504514184000","1:36 AM - 4 Sep 2017","/WHO/status/904624171115843585"
"1557300516-2834","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CleClinicMD","Cleveland Clinic MD","Ketamine could improve treatment-resistant #depression symptoms within 24 hours http://cle.clinic/2gDdz64","","72","95","1505689800000","4:10 PM - 17 Sep 2017","/CleClinicMD/status/909555065030983680"
"1557300516-3086","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@APainPrincess","Princess, The Tower","#Depression Treatment: Therapy, Medication, and Lifestyle Changes That Can Help Depression http://buff.ly/1PGn15o  #chronicpain #spoonie","","7","8","1445476990000","6:23 PM - 21 Oct 2015","/APainPrincess/status/657004234152484864"
"1557300516-2861","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@ThePaintedBrain","Painted Brain LA","The 4 subtypes of #depression vary in their clinical symptoms but, more importantly, in their responses to treatment http://ow.ly/y7Hi30dmQtp","","12","19","1500146113000","12:15 PM - 15 Jul 2017","/ThePaintedBrain/status/886303156812091393"
"1557300516-3178","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@ColumbiaPsych","Columbia Psychiatry","Columbia University is offering free treatment for patients w #bipolar #depression through research studies. Visit http://depression-nyc.org","","7","2","1431377423000","1:50 PM - 11 May 2015","/ColumbiaPsych/status/597866365056372736"
"1557300516-2758","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@PsyFrontier","Psychedelic Frontier","Is  this the future of depression treatment? Ketamine Clinics Are Helping to Treat Depression in Chicago http://www.chicagomag.com/Chicago-Magazine/April-2018/Ketamine-Clinics-Depression-Therapy-Chicago/ … #ketamine #depression","3","11","26","1521324907000","3:15 PM - 17 Mar 2018","/PsyFrontier/status/975133455376961537"
"1557300516-3333","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NIMHgov","Mental Health NIMH","The first step to getting appropriate treatment for #depression is to visit a doctor #NIMHchats","3","12","5","1387567812000","11:30 AM - 20 Dec 2013","/NIMHgov/status/414115537325948928"
"1557300516-3419","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@APAPsychiatric","American Psychiatric","People willing to accept the use of placebos for first line treatment of #depression : http://apaannualmeeting.blogspot.com/ #APA2011","","3","1","1305406114000","1:48 PM - 14 May 2011","/APAPsychiatric/status/69504398283374594"
"1557300516-3022","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Medscape","Medscape","#Exercise may be effective #depression treatment for teens, study finds. http://wb.md/1TG59Wy","2","17","23","1463657247000","4:27 AM - 19 May 2016","/Medscape/status/733257757189640192"
"1557300516-2759","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@NeuroscienceNew","Neuroscience News","Men and Women Have Opposite Genetic Alterations in Depression

The findings, in Biological Psychiatry, indicate distinct pathology, and suggest men and women may need different types of treatment for depression.

#Neuroscience #Psychology #Depression

http://neurosciencenews.com/genetics-sex-differences-depression-8631/ …","","13","33","1521048151000","10:22 AM - 14 Mar 2018","/NeuroscienceNew/status/973972657103429632"
"1557300516-2907","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@jorgersimao","Jorge R. Simao","#There #are #effective #treatments for #depression #WHO #mentalhealth #Provide #free #treatment for #depression is #HumanRight #healthcare","","5","166","1488010334000","12:12 AM - 25 Feb 2017","/jorgersimao/status/835402008743981057"
"1557300516-3129","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@OrganicLiveFood","Organic Live Food","Treatment of #vitaminD deficiency in ppl with #depression may be an easy n cost-effective therapy researchers say: http://bit.ly/1sxH6w4","","6","5","1440033205000","6:13 PM - 19 Aug 2015","/OrganicLiveFood/status/634171343064440833"
"1557300516-2686","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Medscape","Medscape","Psilocybin-assisted therapy for patients with treatment-resistant #depression has received a breakthrough designation from the FDA. http://ms.spr.ly/6011rCk2z  #shroomspic.twitter.com/946fwAvO6G","1","25","39","1541027761000","4:16 PM - 31 Oct 2018","/Medscape/status/1057773212707229697"
"1557300516-3117","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@whaxyapp","Whaxy","#Physicians have Recommended #Cannabis in the Treatment of #Depression Since 1621 -  http://mmjne.ws/1T1h3w7 pic.twitter.com/SSs0sbaE72","","14","8","1441632961000","6:36 AM - 7 Sep 2015","/whaxyapp/status/640881205408206849"
"1557300516-2769","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@WHOPhilippines","World Health Organization Philippines","#Depression is a very common problem affecting over 300 million people globally. Although there are known, effective treatments for depression, many still do not get treatment. Living with someone with #depression? Here's what you can do. #LetsTalk #mentalhealthpic.twitter.com/2FySrSHXZ4","","31","21","1519646640000","4:04 AM - 26 Feb 2018","/WHOPhilippines/status/968094293339459584"
"1557300516-2665","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@Mental_Elf","The Mental Elf","Very exciting day today as @MarkOneinFour and I start recording interviews for a new #depression podcast we’re making. We are focusing on #treatment. Who do you think we should be interviewing? pic.twitter.com/PYIPymIBuL","26","20","60","1547619321000","10:15 PM - 15 Jan 2019","/Mental_Elf/status/1085420219189919746"
"1557300516-3142","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@ConquerWorry","ConquerWorry™","There's a new treatment for severe #depression—with fewer side effects: http://ti.me/1MFKK24","1","16","18","1437528675000","6:31 PM - 21 Jul 2015","/ConquerWorry/status/623666582213033986"
"1557300516-3082","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@APAPsychiatric","American Psychiatric","Are SSRIs used in treatment for #depression in elderly people associated with falls and related injuries? http://apapsy.ch/ssri-elderly","1","9","5","1447170493000","7:48 AM - 10 Nov 2015","/APAPsychiatric/status/664107300446187522"
"1557300516-2653","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@AllenFrancesMD","Allen Frances","OCD tips:
1)Over-diagnosed in normals
2)Under-diagnosed in people who hide symptoms
3)Treat early before symptoms expand/ingrain
3)Wide range of severity- mild to psychotic
4)CBT- 1st line treatment
5)Meds are needed for severe symptoms/nonresponders
6)#Depression often comorbid https://twitter.com/theamandashow15/status/1094287416096104449 …","7","10","43","1549734726000","9:52 AM - 9 Feb 2019","/AllenFrancesMD/status/1094292870754754560"
"1557300516-3019","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MEHEP4U","MentalHealthPlatform","Many suffer with improper mental health treatment- #mentalhealth #mentalillness #anxiety #schizophrenia #depression
https://lasvegassun.com/news/2016/may/30/many-suffer-with-improper-mental-health-treatment/ …","1","2","5","1464699316000","5:55 AM - 31 May 2016","/MEHEP4U/status/737628511867940864"
"1557300516-3166","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@OntarioBrain","Ontario Brain Inst.","Free talk on #depression research, treatment & recovery Thursday! http://www.braininstitute.ca/sites/default/files/petoronto_0.pdf … @CMHAOntario @OntInnovationpic.twitter.com/Nr6Z25anq9","","3","2","1433859781000","7:23 AM - 9 Jun 2015","/OntarioBrain/status/608278126892703744"
"1557300516-3168","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@CleClinicMD","Cleveland Clinic MD","Treatment for spinal disease has positive effects on #depression, other mental health distress http://cle.clinic/1cUxnzh pic.twitter.com/rXyQXFSZog","3","35","33","1432608847000","7:54 PM - 25 May 2015","/CleClinicMD/status/603031328116768768"
"1557300516-2669","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@MAPS","MAPS","Magic Medicine is a documentary about the first clinical trial of #psilocybin for #depression. Through following study participants and researchers, the film explores the potential benefits this treatment may have on treating mental health disorders. http://magicmedicine.net pic.twitter.com/et3ffjcHCd","14","123","291","1545517078000","2:17 PM - 22 Dec 2018","/MAPS/status/1076602773766959104"
"1557300516-3245","https://twitter.com/search?l=&q=depression%20treatment%20%23depression%2C%20OR%20%23treatment%20since%3A2006-03-21%20until%3A2019-05-08&src=typd&lang=en","@UpToDate","UpToDate","#Ketamine appears effective for treatment-resistant #depression but long-term effects and safety unknown http://bddy.me/1AmfW3K","5","78","196","1420562703000","8:45 AM - 6 Jan 2015","/UpToDate/status/552506137946624000"
